,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active,Serious/Critical,Cases/million,Deaths/million,Total Tests,Tests/million
Georgia,"461,198","+5,352","6,230 ",+48,"409,110","+2,635","45,858",,"115,859","1,565","7,198,611","1,808,388"
Belarus,"456,247",+966,"3,562 ",+11,"450,248","+1,062","2,437",,"48,301",377,"7,463,902","790,175"
Paraguay,"455,680",,"15,341 ",,"429,560",,"10,779",260,"63,031","2,122","1,716,067","237,373"
Panama,"443,718",,"6,918 ",,"425,794",,"11,006",133,"101,079","1,576","3,466,213","789,604"
Bulgaria,"429,628",,"18,288 ",,"399,310",,"12,030",101,"62,351","2,654","3,793,849","550,598"
Costa Rica,"422,344",,"5,169 ",,"343,769",,"73,406",371,"82,079","1,005","1,866,579","362,754"
Kuwait,"404,463",,"2,375 ",,"393,957",,"8,131",230,"93,186",547,"3,541,654","815,981"
Guatemala,"394,372",,"10,845 ",,"346,297",,"37,230",5,"21,572",593,"1,964,129","107,438"
Slovakia,"393,228",+68,"12,544 ",+1,"379,945",+80,739,6,"71,986","2,296","3,210,962","587,811"
Uruguay,"382,721",,"5,990 ",,"375,210",,"1,521",30,"109,755","1,718","3,159,883","906,173"
Croatia,"365,716",+381,"8,275 ",,"356,043",+160,"1,398",21,"89,698","2,030","2,372,235","581,831"
Azerbaijan,"357,058","+2,396","5,095 ",+11,"336,445",+674,"15,518",,"34,868",498,"4,147,588","405,027"
Dominican Republic,"345,118",+282,"3,975 ",,"333,022","+2,516","8,121",168,"31,465",362,"1,879,041","171,317"
Myanmar,"341,300","+3,739","12,452 ",+218,"256,671","+3,358","72,177",,"6,227",227,"3,298,004","60,168"
Sri Lanka,"335,851",,"5,340 ",,"298,162",,"32,349",,"15,612",248,"4,412,770","205,124"
Denmark,"326,887","+1,162","2,554 ",,"311,932",+960,"12,401",18,"56,216",439,"77,964,528","13,407,965"
Palestine,"318,435",+254,"3,615 ",,"312,572",+35,"2,248",15,"60,860",691,"2,033,947","388,735"
Ireland,"317,204","+1,819","5,059 ",+15,"273,420",+572,"38,725",36,"63,456","1,012","4,729,538","946,138"
Venezuela,"314,480",,"3,733 ",,"300,606",,"10,141",681,"11,094",132,"3,359,014","118,498"
Honduras,"310,610","+1,581","8,270 ",+68,"103,455",+19,"198,885",670,"30,819",821,"909,947","90,285"
Oman,"299,418",+208,"3,968 ",+9,"286,679","+1,015","8,771",129,"57,034",756,"1,550,000","295,249"
Lithuania,"287,569",+576,"4,435 ",+2,"271,589",+327,"11,545",65,"107,297","1,655","4,169,156","1,555,587"
Ethiopia,"285,413",,"4,440 ",,"264,798",,"16,175",324,"2,417",38,"3,082,512","26,100"
Egypt,"284,875",,"16,588 ",,"233,405",,"34,882",90,"2,727",159,"3,068,679","29,375"
Libya,"274,453","+2,472","3,811 ",+30,"202,080",+875,"68,562",,"39,351",546,"1,387,664","198,960"
Bahrain,"270,290",,"1,384 ",,"267,870",,"1,036",5,"152,997",783,"5,599,901","3,169,803"
